passengerid,survived,class,sex,age,sibsp,parch,ticket,fare,cabin,embarked,female
2,,1,female,38.0,1,0,PC 17599,71.2833,C85,C,1
4,,1,female,35.0,1,0,113803,53.1,C123,S,1
7,,1,male,54.0,0,0,17463,51.8625,E46,S,0
11,,3,female,4.0,1,1,PP 9549,16.7,G6,S,1
12,,1,female,58.0,0,0,113783,26.55,C103,S,1
22,,2,male,34.0,0,0,248698,13.0,D56,S,0
24,,1,male,28.0,0,0,113788,35.5,A6,S,0
28,,1,male,19.0,3,2,19950,263.0,C23 C25 C27,S,0
53,,1,female,49.0,1,0,PC 17572,76.7292,D33,C,1
55,,1,male,65.0,0,1,113509,61.9792,B30,C,0
63,,1,male,45.0,1,0,36973,83.475,C83,S,0
67,,2,female,29.0,0,0,C.A. 29395,10.5,F33,S,1
76,,3,male,25.0,0,0,348123,7.65,F G73,S,0
89,,1,female,23.0,3,2,19950,263.0,C23 C25 C27,S,1
93,,1,male,46.0,1,0,W.E.P. 5734,61.175,E31,S,0
97,,1,male,71.0,0,0,PC 17754,34.6542,A5,C,0
98,,1,male,23.0,0,1,PC 17759,63.3583,D10 D12,C,0
103,,1,male,21.0,0,1,35281,77.2875,D26,S,0
111,,1,male,47.0,0,0,110465,52.0,C110,S,0
119,,1,male,24.0,0,1,PC 17558,247.5208,B58 B60,C,0
124,,2,female,32.5,0,0,27267,13.0,E101,S,1
125,,1,male,54.0,0,1,35281,77.2875,D26,S,0
137,,1,female,19.0,0,2,11752,26.2833,D47,S,1
138,,1,male,37.0,1,0,113803,53.1,C123,S,0
140,,1,male,24.0,0,0,PC 17593,79.2,B86,C,0
149,,2,male,36.5,0,2,230080,26.0,F2,S,0
152,,1,female,22.0,1,0,113776,66.6,C2,S,1
171,,1,male,61.0,0,0,111240,33.5,B19,S,0
175,,1,male,56.0,0,0,17764,30.6958,A7,C,0
178,,1,female,50.0,0,0,PC 17595,28.7125,C49,C,1
184,,2,male,1.0,2,1,230136,39.0,F4,S,0
194,,2,male,3.0,1,1,230080,26.0,F2,S,0
195,,1,female,44.0,0,0,PC 17610,27.7208,B4,C,1
196,,1,female,58.0,0,0,PC 17569,146.5208,B80,C,1
206,,3,female,2.0,0,1,347054,10.4625,G6,S,1
210,,1,male,40.0,0,0,112277,31.0,A31,C,0
216,,1,female,31.0,1,0,35273,113.275,D36,C,1
219,,1,female,32.0,0,0,11813,76.2917,D15,C,1
225,,1,male,38.0,1,0,19943,90.0,C93,S,0
231,,1,female,35.0,1,0,36973,83.475,C83,S,1
246,,1,male,44.0,2,0,19928,90.0,C78,Q,0
249,,1,male,37.0,1,1,11751,52.5542,D35,S,0
252,,3,female,29.0,1,1,347054,10.4625,G6,S,1
253,,1,male,62.0,0,0,113514,26.55,C87,S,0
258,,1,female,30.0,0,0,110152,86.5,B77,S,1
263,,1,male,52.0,1,1,110413,79.65,E67,S,0
264,,1,male,40.0,0,0,112059,0.0,B94,S,0
269,,1,female,58.0,0,1,PC 17582,153.4625,C125,S,1
270,,1,female,35.0,0,0,PC 17760,135.6333,C99,S,1
274,,1,male,37.0,0,1,PC 17596,29.7,C118,C,0
276,,1,female,63.0,1,0,13502,77.9583,D7,S,1
292,,1,female,19.0,1,0,11967,91.0792,B49,C,1
293,,2,male,36.0,0,0,SC/Paris 2163,12.875,D,C,0
298,,1,female,2.0,1,2,113781,151.55,C22 C26,S,1
300,,1,female,50.0,0,1,PC 17558,247.5208,B58 B60,C,1
306,,1,male,0.92,1,2,113781,151.55,C22 C26,S,0
308,,1,female,17.0,1,0,PC 17758,108.9,C65,C,1
310,,1,female,30.0,0,0,PC 17485,56.9292,E36,C,1
311,,1,female,24.0,0,0,11767,83.1583,C54,C,1
312,,1,female,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,1
319,,1,female,31.0,0,2,36928,164.8667,C7,S,1
320,,1,female,40.0,1,1,16966,134.5,E34,C,1
326,,1,female,36.0,0,0,PC 17760,135.6333,C32,C,1
328,,2,female,36.0,0,0,28551,13.0,D,S,1
330,,1,female,16.0,0,1,111361,57.9792,B18,C,1
332,,1,male,45.5,0,0,113043,28.5,C124,S,0
333,,1,male,38.0,0,1,PC 17582,153.4625,C91,S,0
337,,1,male,29.0,1,0,113776,66.6,C2,S,0
338,,1,female,41.0,0,0,16966,134.5,E40,C,1
340,,1,male,45.0,0,0,113784,35.5,T,S,0
341,,2,male,2.0,1,1,230080,26.0,F2,S,0
342,,1,female,24.0,3,2,19950,263.0,C23 C25 C27,S,1
346,,2,female,24.0,0,0,248733,13.0,F33,S,1
357,,1,female,22.0,0,1,113505,55.0,E33,S,1
367,,1,female,60.0,1,0,110813,75.25,D37,C,1
370,,1,female,24.0,0,0,PC 17477,69.3,B35,C,1
371,,1,male,25.0,1,0,11765,55.4417,E50,C,0
378,,1,male,27.0,0,2,113503,211.5,C82,C,0
391,,1,male,36.0,1,2,113760,120.0,B96 B98,S,0
394,,1,female,23.0,1,0,35273,113.275,D36,C,1
395,,3,female,24.0,0,2,PP 9549,16.7,G6,S,1
413,,1,female,33.0,1,0,19928,90.0,C78,Q,1
430,,3,male,32.0,0,0,SOTON/O.Q. 392078,8.05,E10,S,0
431,,1,male,28.0,0,0,110564,26.55,C52,S,0
435,,1,male,50.0,1,0,13507,55.9,E44,S,0
436,,1,female,14.0,1,2,113760,120.0,B96 B98,S,1
439,,1,male,64.0,1,4,19950,263.0,C23 C25 C27,S,0
446,,1,male,4.0,0,2,33638,81.8583,A34,S,0
450,,1,male,52.0,0,0,113786,30.5,C104,S,0
453,,1,male,30.0,0,0,113051,27.75,C111,C,0
454,,1,male,49.0,1,0,17453,89.1042,C92,C,0
457,,1,male,65.0,0,0,13509,26.55,E38,S,0
461,,1,male,48.0,0,0,19952,26.55,E12,S,0
463,,1,male,47.0,0,0,111320,38.5,E63,S,0
474,,2,female,23.0,0,0,SC/AH Basle 541,13.7917,D,C,1
485,,1,male,25.0,1,0,11967,91.0792,B49,C,0
487,,1,female,35.0,1,0,19943,90.0,C93,S,1
488,,1,male,58.0,0,0,11771,29.7,B37,C,0
493,,1,male,55.0,0,0,113787,30.5,C30,S,0
497,,1,female,54.0,1,0,36947,78.2667,D20,C,1
499,,1,female,25.0,1,2,113781,151.55,C22 C26,S,1
505,,1,female,16.0,0,0,110152,86.5,B79,S,1
506,,1,male,18.0,1,0,PC 17758,108.9,C65,C,0
513,,1,male,36.0,0,0,PC 17473,26.2875,E25,S,0
516,,1,male,47.0,0,0,36967,34.0208,D46,S,0
517,,2,female,34.0,0,0,C.A. 34260,10.5,F33,S,1
521,,1,female,30.0,0,0,12749,93.5,B73,S,1
524,,1,female,44.0,0,1,111361,57.9792,B18,C,1
537,,1,male,45.0,0,0,113050,26.55,B38,S,0
540,,1,female,22.0,0,2,13568,49.5,B39,C,1
541,,1,female,36.0,0,2,WE/P 5735,71.0,B22,S,1
545,,1,male,50.0,1,0,PC 17761,106.425,C86,C,0
551,,1,male,17.0,0,2,17421,110.8833,C70,C,0
557,,1,female,48.0,1,0,11755,39.6,A16,C,1
559,,1,female,39.0,1,1,110413,79.65,E67,S,1
572,,1,female,53.0,2,0,11769,51.4792,C101,S,1
573,,1,male,36.0,0,0,PC 17474,26.3875,E25,S,0
578,,1,female,39.0,1,0,13507,55.9,E44,S,1
582,,1,female,39.0,1,1,17421,110.8833,C68,C,1
584,,1,male,36.0,0,0,13049,40.125,A10,C,0
586,,1,female,18.0,0,2,110413,79.65,E68,S,1
588,,1,male,60.0,1,1,13567,79.2,B41,C,0
