№,Страна,Население,Дата,% отнаселенияЗемли,Источник
1,Индия,1432714000.0,2024-10-11T03:14:41+00:0011 октября 2024,17.53%,Счётчик[2]
2,Китай,1409670000.0,2023-01-2131 декабря 2023,17.31%,Оценка[1]
3,США[Комм. 1],335893238.0,2023-01-011 января 2024,4.1%,Оценка[3]
4,Индонезия,281603800.0,2022-12-11 июля 2024,3.52%,Оценка[4]
5,Пакистан,241499431.0,2021-03-011 марта 2023,2.96%,Перепись[6]
6,Нигерия,223800000.0,2024-10-11T03:14:41+00:0011 октября 2024,2.8%,Счётчик[7]
7,Бразилия,220548840.0,2024-10-11T03:14:41+00:0011 октября 2024,2.52%,Счётчик[5]
8,Бангладеш,169828911.0,2022-06-1514 июня 2022,2.08%,Перепись[8]
9,Россия[9],146150789.0,2023-01-011 января 2024,1.8%,Оценка[10]
10,Мексика,129940228.0,2021-01-0130 июня 2024,1.63%,Перепись[11]
11,Япония,123780000.0,2024-06-011 сентября 2024,1.52%,Оценка[12]
12,Филиппины,115110242.0,2024-10-11T03:14:41+00:0011 октября 2024,1.41%,Счётчик[14]
13,Эфиопия,109499000.0,2024-01-011 июля 2024,1.45%,Оценка[13]
14,Египет,105914499.0,2022-12-301 января 2024,1.37%,Оценка[15]
15,Демократическая Республика Конго,105247000.0,2022-07-011 июля 2021,1.33%,Оценка[16]
16,Вьетнам,100309200.0,20232023,1.23%,Оценка[17]
17,Турция[Комм. 2],85372377.0,2022-12-3131 декабря 2023,1.05%,Оценка[18]
18,Иран,85000000.0,2023-05-1616 мая 2023,1.04%,Оценка[19]
19,Германия,84708010.0,2023-12-3130 июня 2023,1.04%,Оценка[20]
20,Таиланд,69872770.0,2024-10-11T03:14:41+00:0011 октября 2024,0.86%,Счётчик[23]
21,Франция[Комм. 3],68513000.0,2024-02-011 сентября 2024,0.81%,Оценка[21]
22,Танзания,67890747.0,2022-07-011 июля 2022,0.83%,Оценка[24]
23,Великобритания,67647112.0,2021-01-011 января 2021,0.82%,Оценка[22]
24,ЮАР,61956900.0,2021-07-011 июля 2021,0.76%,Оценка[25]
25,Италия,58979364.0,2024-03-3130 июня 2024,0.72%,Оценка[26]
26,Мьянма,54045000.0,2019-07-011 июля 2019,0.66%,Оценка[27]
27,Кения,52428290.0,2021-08-251 января 2024,0.71%,Перепись[31]
28,Уганда,52006700.0,2022-07-011 июля 2022,0.63%,Оценка[30]
29,Республика Корея,51265238.0,2020-01-0131 июля 2024,0.63%,Оценка[28]
30,Колумбия,49258494.0,2018-10-3030 октября 2018,0.6%,Перепись[29]
31,Судан,49068700.0,2024-10-11T03:14:41+00:0011 октября 2024,0.6%,Счётчик[34]
32,Аргентина,47067441.0,2022-05-181 июля 2024,0.57%,Перепись[33]
33,Испания,46934632.0,2021-01-011 января 2021,0.58%,Оценка[32]
34,Алжир,46700000.0,2021-07-011 января 2024,0.57%,Оценка[27]
35,Ирак,41310000.0,2019-07-011 июля 2019,0.51%,Оценка[27]
36,Канада,41288599.0,2024-04-011 июля 2024,0.5%,Оценка[37]
37,Марокко,37893820.0,2024-10-11T03:14:41+00:0011 октября 2024,0.46%,Счётчик[39]
38,Польша,37749000.0,2023-01-011 января 2023,0.46%,Оценка[38]
39,Узбекистан,36963262.0,2021-07-011 апреля 2024,0.45%,Счётчик[41]
40,Малайзия,35119110.0,2024-10-11T03:14:41+00:0011 октября 2024,0.43%,Счётчик[42]
41,Ангола,34825000.0,2019-07-011 июля 2019,0.43%,Оценка[27]
42,Венесуэла,34504000.0,2024-10-11T03:14:41+00:0011 октября 2024,0.42%,Счётчик[43]
43,Афганистан,34262840.0,2022-04-011 апреля 2022,0.42%,Оценка[44]
44,Украина[35],33365000.0,2022-01-012024,0.5%,Оценка[36]
45,Саудовская Аравия,32175224.0,2021-07-0110 мая 2022,0.39%,Оценка[40]
46,Перу,32162184.0,2018-12-011 декабря 2018,0.39%,Оценка[45]
47,Гана,31418000.0,2019-07-011 июля 2019,0.39%,Оценка[27]
48,Мозамбик,31366000.0,2019-07-011 июля 2019,0.38%,Оценка[27]
49,Йемен,31162000.0,2019-07-011 июля 2019,0.38%,Оценка[27]
50,Непал,29192480.0,2021-11-1111 ноября 2021,0.36%,Перепись[46]
51,Мадагаскар,28680342.0,2018-06-011 июня 2018,0.35%,Перепись[47]
52,Кот-д’Ивуар,27717000.0,2019-07-011 июля 2019,0.34%,Оценка[27]
53,Австралия[Комм. 4],27122411.0,2023-12-3131 марта 2024,0.33%,Оценка[48]
54,Камерун,26348251.0,2021-07-011 июля 2021,0.32%,Оценка[49]
55,КНДР,25950000.0,2019-07-011 июля 2021,0.32%,Оценка[27]
56,Нигер,25314743.0,2021-07-011 июля 2021,0.31%,Оценка[51]
57,Китайская Республика(Тайвань)[Комм. 5],23782448.0,2018-04-011 апреля 2018,0.29%,Оценка[50]
58,Буркина-Фасо,22870060.0,2021-07-011 июля 2021,0.28%,Оценка[52]
59,Шри-Ланка,21803000.0,2019-07-011 июля 2019,0.26%,Оценка[53]
60,Мали,20658000.0,2019-07-011 июля 2019,0.25%,Оценка[27]
61,Чили,20226565.0,2024-10-11T03:14:41+00:0011 октября 2024,0.24%,Счётчик[57]
62,Казахстан,20201849.0,2024-08-011 сентября 2024,0.25%,Оценка[54]
63,Замбия,19610769.0,2022-08-1818 августа 2022,0.24%,Перепись[58]
64,Сенегал,19256346.0,2018-01-011 января 2018,0.24%,Оценка[55]
65,Румыния,19053815.0,2021-02-011 февраля 2021,0.23%,Перепись[56]
66,Малави,18563749.0,2018-09-033 сентября 2018,0.23%,Перепись[60]
67,Эквадор,18453880.0,2024-10-11T03:14:41+00:0011 октября 2024,0.23%,Счётчик[62]
68,Нидерланды,17967505.0,2024-04-3030 апреля 2024,0.22%,Оценка[61]
69,Гватемала,17679735.0,2019-07-011 июля 2019,0.22%,Оценка[59]
70,Зимбабве,17645000.0,2019-07-011 июля 2019,0.22%,Оценка[27]
71,Сирия,17070000.0,2019-07-011 июля 2019,0.21%,Оценка[27]
72,Чад,15948000.0,2019-07-011 июля 2019,0.2%,Оценка[27]
73,Сомали[Комм. 6],15443000.0,2019-07-011 июля 2019,0.19%,Оценка[27]
74,Камбоджа,15288489.0,2019-03-033 марта 2019,0.19%,Перепись[63]
75,Руанда,13798561.0,2024-01-011 января 2024,0.17%,Оценка[64]
76,Гвинея,12771000.0,2019-07-011 июля 2019,0.16%,Оценка[27]
77,Бельгия,11823056.0,2024-04-011 апреля 2024,0.14%,Оценка[65]
78,Тунис,11658341.0,2019-07-011 июля 2019,0.14%,Оценка[66]
79,Боливия,11469896.0,2019-07-011 июля 2019,0.14%,Оценка[67]
80,Иордания,11410910.0,2024-10-11T03:14:41+00:0011 октября 2024,0.14%,Счётчик[69]
81,Куба,11333000.0,2019-07-011 июля 2019,0.14%,Оценка[27]
82,Бурунди,11215578.0,2020-01-011 января 2020,0.14%,Оценка[68]
83,Южный Судан,11062000.0,2019-07-011 июля 2019,0.14%,Оценка[27]
84,Гаити,10911819.0,2015-01-011 января 2015,0.13%,Оценка[70]
85,Доминиканская Республика,10739000.0,2019-07-011 июля 2019,0.13%,Оценка[27]
86,Швеция,10548461.0,2024-04-3030 апреля 2024,0.13%,Оценка[71]
87,Чехия,10524167.0,2021-03-2727 марта 2021,0.13%,Перепись[72]
88,Греция,10482487.0,2021-11-2323 ноября 2021,0.13%,Перепись[73]
89,Португалия,10347892.0,2021-07-287 июля 2021,0.13%,Перепись[76]
90,Бенин,10315244.0,2015-07-011 июля 2015,0.13%,Оценка[74]
91,Азербайджан,10119100.0,2021-01-011 января 2021,0.12%,Оценка[75]
92,Таджикистан,9886800.0,2022-01-011 января 2022,0.12%,Оценка[81]
93,ОАЭ,9771000.0,2019-07-011 июля 2019,0.12%,Оценка[27]
94,Венгрия,9604000.0,2022-10-011 октября 2022,0.12%,Перепись[77]
95,Белоруссия,9255524.0,2022-01-011 января 2022,0.11%,Оценка[78]
96,Гондурас,9158345.0,2019-07-011 июля 2019,0.11%,Оценка[79]
97,Израиль,9136000.0,2020-01-011 января 2020,0.11%,Оценка[80]
98,Австрия,8915382.0,2020-07-011 июля 2020,0.11%,Оценка[82]
99,Папуа — Новая Гвинея,8776000.0,2019-07-011 июля 2019,0.11%,Оценка[27]
100,Швейцария,8570146.0,2019-07-011 июля 2019,0.11%,Оценка[83]
101,Того,8082000.0,2019-07-011 июля 2019,0.1%,Оценка[27]
102,Сьерра-Леоне,7813000.0,2019-07-011 июля 2019,0.096%,Оценка[27]
103,Гонконг,7524100.0,2019-07-011 июля 2019,0.092%,Оценка[84]
104,Парагвай,7152703.0,2019-07-011 июля 2019,0.088%,Оценка[85]
105,Лаос,7123205.0,2019-07-011 июля 2019,0.087%,Оценка[86]
106,Кыргызстан,7037600.0,2023-01-011 января 2023,0.081%,Оценка[89]
107,Болгария,6951482.0,2020-01-011 января 2020,0.085%,Оценка[87]
108,Сербия[Комм. 7],6926705.0,2020-01-011 января 2020,0.085%,Оценка[88]
109,Ливан,6856000.0,2019-07-011 июля 2019,0.084%,Оценка[27]
110,Ливия,6777000.0,2019-07-011 июля 2019,0.083%,Оценка[27]
111,Сальвадор,6454000.0,2019-07-011 июля 2019,0.079%,Оценка[27]
112,Никарагуа,6198154.0,2014-07-011 июля 2014,0.076%,Оценка[90][91]
113,Дания[Комм. 8],5962689.0,2024-02-011 февраля 2024,0.073%,Оценка[92]
114,Туркменистан,5942000.0,2019-07-011 июля 2019,0.073%,Оценка[27]
115,Сингапур,5703600.0,2019-07-011 июля 2019,0.07%,Оценка[93]
116,Норвегия,5550203.0,2023-10-011 октября 2023,0.068%,Оценка[96]
117,Финляндия[94],5526774.0,2020-03-011 марта 2020,0.068%,Оценка[95]
118,Словакия,5422620.0,2024-03-3131 марта 2024,0.066%,Оценка[97]
